"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","X","URN","Local.authority..code.","Local.authority..name.","Establishment.number","Establishment.name","Street","Locality","Address3","Town","County","Postcode","Type.of.establishment","Statutory.highest.age","Statutory.lowest.age","Boarders","Sixth.form","UKPRN","Phase.of.education","Gender","Religious.character","Religious.ethos","Admissions.policy","Website.address","Telephone.number","Headteacher","Establishment.status","Reason.establishment.opened","Opening.date","Parliamentary.Constituency..code.","Parliamentary.Constituency..name.","Region","gg_address","lon","lat"
"332",332,332,332,332,332,332,332,332,100507,207,"Kensington and Chelsea",6003,"Redcliffe School","47 Redcliffe Gardens","","","London","","SW10 9JH","Other Independent School",11,3,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","Inter- / non- denominational","Not collected","www.redcliffeschool.com",2073529247,"Mrs Susan Bourne","Open","Not applicable","01/01/1951","E14000629","Chelsea and Fulham","London","Redcliffe School, 47 Redcliffe Gardens, SW10 9JH",-0.1866102,51.4861579
"333",333,333,333,333,333,333,333,333,100508,207,"Kensington and Chelsea",6004,"Glendower Preparatory School","86/87 Queen's Gate","South Kensington","","London","","SW7 5JX","Other Independent School",11,4,"No Boarders","Does not have a sixth form",NA,"Not applicable","Girls","None","None","Not collected","",2073701927,"Mrs S Knollys","Open","Not applicable","01/01/1952","E14000768","Kensington","London","Glendower Preparatory School, 86/87 Queen's Gate, SW7 5JX",-0.1791965,51.4939924
"334",334,334,334,334,334,334,334,334,100509,205,"Hammersmith and Fulham",6392,"Kensington Prep School","596 Fulham Road","","","London","","SW6 5PA","Other Independent School",11,4,"No Boarders","Does not have a sixth form",NA,"Not applicable","Girls","None","None","Not collected","",2077319300,"Mrs P J F Lynch","Open","Not applicable","01/01/1948","E14000629","Chelsea and Fulham","London","Kensington Prep School, 596 Fulham Road, SW6 5PA",-0.2024618,51.4772147
"335",335,335,335,335,335,335,335,335,100510,207,"Kensington and Chelsea",6025,"Norland Place School","162-166 Holland Park Avenue","","","London","","W11 4UH","Other Independent School",11,4,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","None","Non-selective","",2076039103,"Mr P Mattar","Open","Not applicable","01/01/1921","E14000768","Kensington","London","Norland Place School, 162-166 Holland Park Avenue, W11 4UH",-0.2117431,51.5058859
"336",336,336,336,336,336,336,336,336,100511,207,"Kensington and Chelsea",6026,"Queen's Gate School","133 Queen's Gate","Kensington","","London","","SW7 5LE","Other Independent School",18,3,"No Boarders","Has a sixth form",10008448,"Not applicable","Girls","None","None","Not collected","",2075893587,"Mrs Rosalynd Kamaryc","Open","Not applicable","01/01/1920","E14000768","Kensington","London","Queen's Gate School, 133 Queen's Gate, SW7 5LE",-0.178538,51.494845
"337",337,337,337,337,337,337,337,337,100513,207,"Kensington and Chelsea",6095,"Bassett House School","60 Bassett Road","","","London","","W10 6JP","Other Independent School",11,3,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","Inter- / non- denominational","Non-selective","www.bassetths.org.uk",2089690313,"Mrs Philippa Cawthorne","Open","Not applicable","18/06/1958","E14000768","Kensington","London","Bassett House School, 60 Bassett Road, W10 6JP",-0.2176078,51.5182841
"338",338,338,338,338,338,338,338,338,100514,207,"Kensington and Chelsea",6096,"Sussex House School","68 Cadogan Square","","","London","","SW1X 0EA","Other Independent School",13,8,"No Boarders","Does not have a sixth form",10018529,"Not applicable","Boys","Church of England","Church of England","Selective (grammar)","",2075841741,"Mr N Kaye","Open","Not applicable","01/01/1956","E14000629","Chelsea and Fulham","London","Sussex House School, 68 Cadogan Square, SW1X 0EA",-0.1611523,51.4945012
"339",339,339,339,339,339,339,339,339,100516,207,"Kensington and Chelsea",6104,"St Philip's School","6 Wetherby Place","","","London","","SW7 4NE","Other Independent School",13,7,"No Boarders","Does not have a sixth form",10018885,"Not applicable","Boys","Roman Catholic","Roman Catholic","Selective (grammar)","",2073733944,"Mr A Wulffen-Thomas","Open","Not applicable","22/10/1957","E14000768","Kensington","London","St Philip's School, 6 Wetherby Place, SW7 4NE",-0.1827019,51.4927156
"340",340,340,340,340,340,340,340,340,100518,207,"Kensington and Chelsea",6188,"Hill House International Junior School","Hans Place","Knightsbridge","","London","","SW1X 0EP","Other Independent School",13,4,"No Boarders","Does not have a sixth form",10018546,"Not applicable","Mixed","None","None","Non-selective","",2075841331,"Mr R F S Townend","Open","Not applicable","27/03/1958","E14000768","Kensington","London","Hill House International Junior School, Hans Place, SW1X 0EP",-0.1601619,51.4974421
"341",341,341,341,341,341,341,341,341,100519,207,"Kensington and Chelsea",6189,"Wetherby School","11 Pembridge Square","","","London","","W2 4ED","Other Independent School",8,3,"No Boarders","Does not have a sixth form",NA,"Not applicable","Boys","None","None","Non-selective","www.wetherbyschool.co.uk",2077279581,"Mr M Snell","Open","Not applicable","01/01/1955","E14000768","Kensington","London","Wetherby School, 11 Pembridge Square, W2 4ED",-0.1950085,51.5113195
"342",342,342,342,342,342,342,342,342,100520,207,"Kensington and Chelsea",6193,"Falkner House","19 Brechin Place","","","London","","SW7 4QB","Other Independent School",11,2,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","None","Not collected","",2073734501,"Mrs Anita Griggs","Open","Not applicable","01/01/1957","E14000768","Kensington","London","Falkner House, 19 Brechin Place, SW7 4QB",-0.1813054,51.4912435
"343",343,343,343,343,343,343,343,343,100521,207,"Kensington and Chelsea",6202,"More House School","22-24 Pont Street","Chelsea","","London","","SW1X 0AA","Other Independent School",18,11,"No Boarders","Has a sixth form",10008388,"Not applicable","Girls","Roman Catholic","Roman Catholic","Selective (grammar)","www.morehouse.org.uk",2072352855,"Mrs Amanda Leach","Open","Not applicable","01/01/1957","E14000768","Kensington","London","More House School, 22-24 Pont Street, SW1X 0AA",-0.1594911,51.4973229
"344",344,344,344,344,344,344,344,344,100522,207,"Kensington and Chelsea",6213,"Garden House School","Turks Row","","","London","","SW3 4TW","Other Independent School",11,3,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","None","Non-selective","gardenhouseschool.co.uk",2077301652,"Mrs Charlotte Crofton","Open","Not applicable","10/10/1957","E14000629","Chelsea and Fulham","London","Garden House School, Turks Row, SW3 4TW",-0.1577353,51.4898677
"345",345,345,345,345,345,345,345,345,100523,313,"Hounslow",6071,"The Falcons School for Boys","2 Burnaby Gardens","Chiswick","","London","","W4 3DT","Other Independent School",13,3,"No Boarders","Does not have a sixth form",NA,"Not applicable","Boys","None","None","Non-selective","",2087478393,"Mr Andrew Forbes","Open","Not applicable","01/04/1958","E14000593","Brentford and Isleworth","London","The Falcons School for Boys, 2 Burnaby Gardens, W4 3DT",-0.2729083,51.4876341
"346",346,346,346,346,346,346,346,346,100524,207,"Kensington and Chelsea",6241,"Eaton House The Vale School","2 Elvaston Place","","","London","","SW7 5QH","Other Independent School",11,2,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","None","Non-selective","",2075849515,"Mr Robin Greenwood","Open","Not applicable","28/02/1962","E14000768","Kensington","London","Eaton House The Vale School, 2 Elvaston Place, SW7 5QH",-0.1549724,51.4940782
"347",347,347,347,347,347,347,347,347,100526,207,"Kensington and Chelsea",6262,"Duff Miller College","59 Queen's Gate","","","London","","SW7 5JP","Other Independent School",20,13,"Boarding School","Has a sixth form",10010591,"Not applicable","Mixed","None","None","Not collected","www.duffmiller.com",2072250577,"Mr Gareth Davies","Open","Not applicable","07/01/1970","E14000768","Kensington","London","Duff Miller College, 59 Queen's Gate, SW7 5JP",-0.179499,51.496024
"348",348,348,348,348,348,348,348,348,100527,205,"Hammersmith and Fulham",6399,"St James Senior Girls' School","Earsby Street","","","London","","W14 8SH","Other Independent School",18,11,"No Boarders","Has a sixth form",10008681,"Not applicable","Girls","None","None","Non-selective","www.stjamesschools.co.uk",2073481777,"Mrs Sarah Labram","Open","Not applicable","30/05/1975","E14000726","Hammersmith","London","St James Senior Girls' School, Earsby Street, W14 8SH",-0.2092615,51.4952455
"349",349,349,349,349,349,349,349,349,100529,208,"Lambeth",6004,"DLD College London","199 Westminster Bridge Road","","Lambeth","London","","SE1 7RW","Other Independent School",19,14,"Boarding School","Has a sixth form",10009020,"Not applicable","Mixed","None","None","Not collected","",2079358411,"Mrs R Borland","Open","Not applicable","26/09/1977","E14001008","Vauxhall","London","DLD College London, 199 Westminster Bridge Road, SE1 7RW",-0.1161551,51.5001017
"350",350,350,350,350,350,350,350,350,100530,212,"Wandsworth",6401,"Thomas's Battersea","28-40 Battersea High Street","","","London","","SW11 3JB","Other Independent School",12,5,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","Church of England","Not collected","",2079780900,"Mr B V R Thomas","Open","Not applicable","13/11/1978","E14000549","Battersea","London","Thomas's Battersea, 28-40 Battersea High Street, SW11 3JB",-0.174455,51.4743996
"351",351,351,351,351,351,351,351,351,100531,207,"Kensington and Chelsea",6303,"Pembridge Hall School","18 Pembridge Square","","","London","","W2 4EH","Other Independent School",11,4,"No Boarders","Does not have a sixth form",NA,"Not applicable","Girls","None","None","Non-selective","www.pembridgehall.co.uk",2072290121,"Mr H Keighley-Elstub","Open","Not applicable","23/10/1979","E14000768","Kensington","London","Pembridge Hall School, 18 Pembridge Square, W2 4EH",-0.1935174,51.5115903
"352",352,352,352,352,352,352,352,352,100532,207,"Kensington and Chelsea",6305,"Instituto Espanol Canada Blanch","317 Portobello Road","","","London","","W10 5SZ","Other Independent School",19,5,"No Boarders","Has a sixth form",10015997,"Not applicable","Mixed","None","None","Non-selective","http://www.educacion.gob.es/exterior/centros/canadablanch/es/home/index.shtml",2089692664,"Mrs M Martinez Lopez","Open","Not applicable","29/01/1980","E14000768","Kensington","London","Instituto Espanol Canada Blanch, 317 Portobello Road, W10 5SZ",-0.2088683,51.5205401
"353",353,353,353,353,353,353,353,353,100533,207,"Kensington and Chelsea",6316,"Knightsbridge School","67 Pont Street","","","London","","SW1X 0BD","Other Independent School",13,2,"No Boarders","Does not have a sixth form",10016190,"Not applicable","Mixed","None","None","Not collected","",2075909000,"Ms S Colaco","Open","Not applicable","21/11/1980","E14000629","Chelsea and Fulham","London","Knightsbridge School, 67 Pont Street, SW1X 0BD",-0.1631141,51.4964022
"354",354,354,354,354,354,354,354,354,100534,207,"Kensington and Chelsea",6317,"Thomas's Kensington","17-19 Cottesmore Gardens","","","London","","W8 5PR","Other Independent School",11,5,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","None","Not collected","",2073616500,"Ms Joanna Elizabeth Ebner","Open","Not applicable","18/12/1980","E14000768","Kensington","London","Thomas's Kensington, 17-19 Cottesmore Gardens, W8 5PR",-0.187892,51.4987207
"355",355,355,355,355,355,355,355,355,100536,213,"Westminster",6389,"Lansdowne College","40-44 Bark Place","Bayswater","","London","","W2 4AT","Other Independent School",19,14,"Boarding School","Has a sixth form",10009083,"Not applicable","Mixed","None","None","Non-selective","http://www.lansdownecollege.com",2076164400,"Mr Mark Love","Open","Not applicable","22/11/1983","E14001036","Westminster North","London","Lansdowne College, 40-44 Bark Place, W2 4AT",-0.1896364,51.5112115
"356",356,356,356,356,356,356,356,356,100537,207,"Kensington and Chelsea",6348,"Ashbourne Independent School","17 Old Court Place","Kensington","","London","","W8 4PL","Other Independent School",21,13,"No Boarders","Has a sixth form",10008898,"Not applicable","Mixed","None","None","Non-selective","",2079373858,"Mr M J Hatchard-Kirby","Open","Not applicable","05/03/1985","E14000768","Kensington","London","Ashbourne Independent School, 17 Old Court Place, W8 4PL",-0.189793,51.5026699
"357",357,357,357,357,357,357,357,357,100538,207,"Kensington and Chelsea",6350,"Cameron House School","4 The Vale","Chelsea","","London","","SW3 6AH","Other Independent School",11,4,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","Christian","Non-selective","",2073524040,"Mrs Padraic MOORE","Open","Not applicable","27/02/1985","E14000629","Chelsea and Fulham","London","Cameron House School, 4 The Vale, SW3 6AH",-0.1752999,51.4855505
"358",358,358,358,358,358,358,358,358,100539,207,"Kensington and Chelsea",6362,"Collingham","23 Collingham Gardens","","","London","","SW5 0HL","Other Independent School",19,14,"No Boarders","Has a sixth form",10015231,"Not applicable","Mixed","None","None","Not collected","",2072447414,"Dr Sally Powell","Open","Not applicable","24/03/1987","E14000768","Kensington","London","Collingham, 23 Collingham Gardens, SW5 0HL",-0.188215,51.492128
"359",359,359,359,359,359,359,359,359,100540,207,"Kensington and Chelsea",6363,"Mander Portman Woodward School","90-92 Queen's Gate","","","London","","SW7 5AB","Other Independent School",20,14,"No Boarders","Has a sixth form",10043846,"Not applicable","Mixed","None","None","Not collected","www.mpw.ac.uk",2078351355,"Mr John Southworth","Open","Not applicable","02/04/1987","E14000768","Kensington","London","Mander Portman Woodward School, 90-92 Queen's Gate, SW7 5AB",-0.1789149,51.4934993
"360",360,360,360,360,360,360,360,360,100541,213,"Westminster",6386,"Portland Place School","56-58 Portland Place","","","London","","W1B 1NJ","Other Independent School",18,8,"No Boarders","Has a sixth form",10017956,"Not applicable","Mixed","None","None","Not collected","http://www.portland-place.co.uk/",2073078700,"Mr David Bradbury","Open","Not applicable","06/10/1988","E14000639","Cities of London and Westminster","London","Portland Place School, 56-58 Portland Place, W1B 1NJ",-0.1448908,51.5207818
"361",361,361,361,361,361,361,361,361,100542,207,"Kensington and Chelsea",6383,"Southbank International School Kensington","36-38 Kensington Park Road","","","London","","W11 3BU","Other Independent School",11,3,"No Boarders","Does not have a sixth form",10017778,"Not applicable","Mixed","None","None","Not collected","www.southbank.org",2072298230,"Ms Siobhan McGrath","Open","Not applicable","23/09/1980","E14000768","Kensington","London","Southbank International School Kensington, 36-38 Kensington Park Road, W11 3BU",-0.1980284,51.510265
"362",362,362,362,362,362,362,362,362,100543,213,"Westminster",6390,"St Nicholas Preparatory School","23 Princes Gate","","","London","","SW7 1PT","Other Independent School",11,3,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","None","Non-selective","www.stnicholasprep.co.uk",2072251277," Anna Guerin","Open","Not applicable","15/02/1991","E14000639","Cities of London and Westminster","London","St Nicholas Preparatory School, 23 Princes Gate, SW7 1PT",-0.1730614,51.501445
"363",363,363,363,363,363,363,363,363,100544,207,"Kensington and Chelsea",6386,"David Game College","31 Jewry Street","","","London","","EC3N 2ET","Other Independent School",22,13,"No Boarders","Has a sixth form",10015688,"Not applicable","Mixed","None","None","Non-selective","www.davidgamecollege.com",2072216665," John Dalton/ Rachel Sherman","Open","Not applicable","02/05/1991","E14000639","Cities of London and Westminster","London","David Game College, 31 Jewry Street, EC3N 2ET",-0.076535,51.5130405
"364",364,364,364,364,364,364,364,364,100545,207,"Kensington and Chelsea",6387,"La Petite Ecole Francaise","73 St Charles Square","","","London","","W10 6EJ","Other Independent School",11,3,"No Boarders","Does not have a sixth form",NA,"Not applicable","Mixed","None","None","Non-selective","",2089601278,"Mr Etienne Prevot","Open","Not applicable","06/01/1992","E14000768","Kensington","London","La Petite Ecole Francaise, 73 St Charles Square, W10 6EJ",-0.2169093,51.5197249
"365",365,365,365,365,365,365,365,365,100547,207,"Kensington and Chelsea",6391,"Lycee Francais Charles de Gaulle","35 Cromwell Road","","","London","","SW7 2DG","Other Independent School",19,3,"No Boarders","Has a sixth form",10016670,"Not applicable","Mixed","None","None","Not collected","",2075846322,"Mr Oliver Rauch","Open","Not applicable","11/04/1994","E14000768","Kensington","London","Lycee Francais Charles de Gaulle, 35 Cromwell Road, SW7 2DG",-0.1768242,51.4952993
"366",366,366,366,366,366,366,366,366,100549,207,"Kensington and Chelsea",7165,"Chelsea  Community Hospital  School","369 Fulham Road","","","London","","SW10 9NH","Community Special School",19,3,"No Boarders","Has a sixth form",10015504,"Not applicable","Mixed","Does not apply","Does not apply","Not applicable","http://www.chelseachildrenshospitalschool.org",2087468672,"Mrs Janette Steel","Open","Not applicable","","E14000629","Chelsea and Fulham","London","Chelsea  Community Hospital  School, 369 Fulham Road, SW10 9NH",-0.181852,51.484723
"367",367,367,367,367,367,367,367,367,100550,208,"Lambeth",1027,"Triangle Nursery School","25 William Bonney Estate","Clapham Crescent","","London","","SW4 7JQ","LA Nursery School",5,3,"No Boarders","Not applicable",NA,"Nursery","Mixed","Does not apply","Does not apply","Not applicable","www.trianglenursery.org",2076221393,"Ms Rachel Hedley","Open","Not applicable","","E14001008","Vauxhall","London","Triangle Nursery School, 25 William Bonney Estate, SW4 7JQ",-0.1333698,51.4608812
"368",368,368,368,368,368,368,368,368,100551,208,"Lambeth",1043,"Effra Nursery School and Early Years Centre","35 Effra Parade","","","London","","SW2 1PL","LA Nursery School",5,3,"No Boarders","Not applicable",NA,"Nursery","Mixed","Does not apply","Does not apply","Not applicable","www.effra.lambeth.sch.uk",2077338425,"Mrs Jan Bennett","Open","Not applicable","","E14000673","Dulwich and West Norwood","London","Effra Nursery School and Early Years Centre, 35 Effra Parade, SW2 1PL",-0.1098561,51.4567207
"369",369,369,369,369,369,369,369,369,100552,208,"Lambeth",1049,"Ethelred Nursery School and Children's Centre","20 Oakden Street","","","London","","SE11 4UG","LA Nursery School",4,2,"No Boarders","Not applicable",NA,"Nursery","Mixed","Does not apply","Does not apply","Not applicable","",2075829711,"Ms Glenda King","Open","Not applicable","","E14001008","Vauxhall","London","Ethelred Nursery School and Children's Centre, 20 Oakden Street, SE11 4UG",-0.1112703,51.4911232
"370",370,370,370,370,370,370,370,370,100553,208,"Lambeth",1055,"Maytree Nursery School","155 Clarence Crescent","","","London","","SW4 8LN","LA Nursery School",4,2,"No Boarders","Not applicable",NA,"Nursery","Mixed","Does not apply","Does not apply","Not applicable","www.maytree-nursery.lambeth.sch.uk",2086713298,"Ms Rachel Hedley","Open","Not applicable","","E14000978","Streatham","London","Maytree Nursery School, 155 Clarence Crescent, SW4 8LN",-0.1307956,51.4515419
"371",371,371,371,371,371,371,371,371,100554,208,"Lambeth",1058,"Holmewood Nursery School","66 Upper Tulse Hill","","","London","","SW2 2RW","LA Nursery School",5,3,"No Boarders","Not applicable",NA,"Nursery","Mixed","Does not apply","Does not apply","Not applicable","",2086742186,"Miss Rachel Hedley","Open","Not applicable","","E14000978","Streatham","London","Holmewood Nursery School, 66 Upper Tulse Hill, SW2 2RW",-0.1199826,51.4475342
"372",372,372,372,372,372,372,372,372,100556,208,"Lambeth",2022,"Ashmole Primary School","Ashmole Street","","","London","","SW8 1NT","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.ashmoleprimaryschool.org.uk",2077352419,"Mr Adam Hickman","Open","Not applicable","","E14001008","Vauxhall","London","Ashmole Primary School, Ashmole Street, SW8 1NT",-0.1149112,51.482011
"373",373,373,373,373,373,373,373,373,100560,208,"Lambeth",2115,"Clapham Manor Primary School","Belmont Road","Clapham","","London","","SW4 0BZ","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.claphammanor.lambeth.sch.uk",2076223919,"Mr B Hazell","Open","Not applicable","","E14001008","Vauxhall","London","Clapham Manor Primary School, Belmont Road, SW4 0BZ",-0.1372713,51.4643947
"374",374,374,374,374,374,374,374,374,100564,208,"Lambeth",2265,"Granton Primary School","Granton Road","Streatham","","London","","SW16 5AN","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.grantonprimary.org.uk/",2087646414,"Mr Andrew Terrey","Open","Not applicable","","E14000978","Streatham","London","Granton Primary School, Granton Road, SW16 5AN",-0.1420555,51.4145104
"375",375,375,375,375,375,375,375,375,100566,208,"Lambeth",2292,"Heathbrook Primary School","St Rule Street","","","London","","SW8 3EH","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.heathbrook.org/",2076224101,"Mr Ben Roberts","Open","Not applicable","","E14001008","Vauxhall","London","Heathbrook Primary School, St Rule Street, SW8 3EH",-0.1430382,51.4700881
"376",376,376,376,376,376,376,376,376,100567,208,"Lambeth",2295,"Henry Cavendish Primary School","Hydethorpe Road","","","London","","SW12 0JA","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.henrycavendish.co.uk",2086733376,"Mrs Alexandra Hardy","Open","Not applicable","","E14000978","Streatham","London","Henry Cavendish Primary School, Hydethorpe Road, SW12 0JA",-0.1435287,51.4442933
"377",377,377,377,377,377,377,377,377,100572,208,"Lambeth",2331,"Jessop Primary School","Lowden Road","Herne Hill","","London","","SE24 0BJ","Community School",11,2,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.jessopprimary.org.uk/",2072742333,"Mrs Lilian Umekwe","Open","Not applicable","","E14000673","Dulwich and West Norwood","London","Jessop Primary School, Lowden Road, SE24 0BJ",-0.100999,51.4600218
"378",378,378,378,378,378,378,378,378,100576,208,"Lambeth",2371,"Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism)","Smedley Street","Clapham","","London","","SW4 6PH","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.larkhallprimary.net/",2076223820,"Mr Gary Nichol","Open","Not applicable","","E14001008","Vauxhall","London","Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism), Smedley Street, SW4 6PH",-0.1292803,51.4705377
"379",379,379,379,379,379,379,379,379,100578,208,"Lambeth",2504,"Richard Atkins Primary School","New Park Road","","","London","","SW2 4JP","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.richardatkins.lambeth.sch.uk",2086745601,"Ms Nadia McIntosh","Open","Not applicable","","E14000978","Streatham","London","Richard Atkins Primary School, New Park Road, SW2 4JP",-0.1263218,51.4480123
"380",380,380,380,380,380,380,380,380,100582,208,"Lambeth",2902,"Stockwell Primary School","Stockwell Road","","","London","","SW9 9TG","Community School",11,2,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.stockwell-pri.lambeth.sch.uk",2072747687,"Mr Karl Bardouille","Open","Not applicable","","E14001008","Vauxhall","London","Stockwell Primary School, Stockwell Road, SW9 9TG",-0.1177778,51.4667846
"381",381,381,381,381,381,381,381,381,100584,208,"Lambeth",2575,"Sudbourne Primary School","Hayter Road","Brixton","","London","","SW2 5AP","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.sudbourne.com",2072747631,"Mr Milan Stevanovic","Open","Not applicable","","E14000978","Streatham","London","Sudbourne Primary School, Hayter Road, SW2 5AP",-0.1200556,51.4580532
"382",382,382,382,382,382,382,382,382,100585,208,"Lambeth",2578,"Sunnyhill Primary School","Sunnyhill Road","Streatham","","London","","SW16 2UW","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Non-selective","www.sunnyhillprimary.com",2087694785,"Mr John Parr","Open","Not applicable","","E14000978","Streatham","London","Sunnyhill Primary School, Sunnyhill Road, SW16 2UW",-0.1203172,51.4288156
"383",383,383,383,383,383,383,383,383,100586,208,"Lambeth",2591,"Telferscot Primary School","Telferscot Road","Balham","","London","","SW12 0HW","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.telferscot.lambeth.sch.uk/",2086737362,"Ms Jennifer Martin","Open","Not applicable","","E14000978","Streatham","London","Telferscot Primary School, Telferscot Road, SW12 0HW",-0.1370863,51.4432849
"384",384,384,384,384,384,384,384,384,100588,208,"Lambeth",2617,"Vauxhall Primary School","Vauxhall Street","","","London","","SE11 5LG","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.vauxhallprimary.org.uk/",2077354535,"Mr Edison David","Open","Not applicable","","E14001008","Vauxhall","London","Vauxhall Primary School, Vauxhall Street, SE11 5LG",-0.1176882,51.4888187
"385",385,385,385,385,385,385,385,385,100589,208,"Lambeth",2626,"Walnut Tree Walk Primary School","Walnut Tree Walk","","","London","","SE11 6DS","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.wtwschool.co.uk",2077351402,"Ms Jeanne Carabine","Open","Not applicable","","E14001008","Vauxhall","London","Walnut Tree Walk Primary School, Walnut Tree Walk, SE11 6DS",-0.1139153,51.493667
"386",386,386,386,386,386,386,386,386,100590,208,"Lambeth",2657,"Woodmansterne School","Stockport Road","","Streatham","London","","SW16 5XE","Community School",18,3,"No Boarders","Has a sixth form",NA,"All Through","Mixed","Does not apply","Does not apply","Not applicable","www.woodmansterne.london",2087641825,"Ms Samantha Palin","Open","Not applicable","","E14000978","Streatham","London","Woodmansterne School, Stockport Road, SW16 5XE",-0.1350793,51.4123636
"387",387,387,387,387,387,387,387,387,100591,208,"Lambeth",2664,"Wyvil Primary School and Centres for Children With Speech and Language Impairment and Autism","Wyvil Road","","","London","","SW8 2TJ","Foundation School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","None","Does not apply","Not applicable","www.wyvilschool.org.uk/",2076221164,"Mrs Rachel Da Silva","Open","Not applicable","","E14001008","Vauxhall","London","Wyvil Primary School and Centres for Children With Speech and Language Impairment and Autism, Wyvil Road, SW8 2TJ",-0.1260557,51.4815514
"388",388,388,388,388,388,388,388,388,100593,208,"Lambeth",2783,"Crown Lane Primary School","Crown Lane","Streatham","","London","","SW16 3HX","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.crownlane.lambeth.sch.uk/",2086704713,"Mr Gavin Farrell","Open","Not applicable","","E14000673","Dulwich and West Norwood","London","Crown Lane Primary School, Crown Lane, SW16 3HX",-0.1092019,51.4232786
"389",389,389,389,389,389,389,389,389,100598,208,"Lambeth",2808,"Allen Edwards Primary School","Studley Road","Stockwell","","London","","SW4 6RP","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","http://www.allenedwards.co.uk",2076223985," Louise Robertson","Open","Not applicable","","E14001008","Vauxhall","London","Allen Edwards Primary School, Studley Road, SW4 6RP",-0.1283503,51.4727866
"390",390,390,390,390,390,390,390,390,100602,208,"Lambeth",5209,"Julian's School","16 Wolfington Road","West Norwood","","London","","SE27 0JF","Foundation School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","None","Does not apply","Not applicable","www.juliansprimary.org.uk/",2087611894,"Ms Alison Moller","Open","Not applicable","","E14000673","Dulwich and West Norwood","London","Julian's School, 16 Wolfington Road, SE27 0JF",-0.1054614,51.4312003
"391",391,391,391,391,391,391,391,391,100604,208,"Lambeth",2868,"Herbert Morrison Primary School","Hartington Road","","","London","","SW8 2HP","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.herbertmorrisonprimaryschool.co.uk/",2077203439,"Mrs Lucy Peake","Open","Not applicable","","E14001008","Vauxhall","London","Herbert Morrison Primary School, Hartington Road, SW8 2HP",-0.12587,51.478689
"392",392,392,392,392,392,392,392,392,100608,208,"Lambeth",2895,"Streatham Wells Primary School","50 Palace Road","","","London","","SW2 3NJ","Community School",11,3,"No Boarders","Does not have a sixth form",NA,"Primary","Mixed","Does not apply","Does not apply","Not applicable","www.streathamwells.lambeth.sch.uk",2086743742,"Mrs Louise Salewski","Open","Not applicable","","E14000978","Streatham","London","Streatham Wells Primary School, 50 Palace Road, SW2 3NJ",-0.1160745,51.4398835
